epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0123,3.6436,3.52565,4.23387,0.0075,0.15581,0.00831,0.00316,3.51504,3.59555,4.15789,0.0002,0.0002,0.0002
2,90.6002,3.65347,3.26979,4.15439,0.00761,0.15806,0.01088,0.00384,3.51538,3.60963,4.15269,0.000415842,0.000415842,0.000415842
3,133.605,3.58411,2.94574,4.05314,0.0076,0.15986,0.01359,0.00539,3.51961,3.67617,4.15082,0.000627328,0.000627328,0.000627328
4,176.644,3.38939,2.81348,3.85944,0.00736,0.15761,0.00742,0.00282,3.5327,3.8366,4.17715,0.000834458,0.000834458,0.000834458
5,219.793,3.22163,2.66601,3.62656,0.0075,0.15986,0.00729,0.00279,3.56584,4.12332,4.2719,0.00103723,0.00103723,0.00103723
6,262.925,3.25243,2.58151,3.41181,0.006,0.13426,0.00936,0.00493,3.61343,4.11447,4.31171,0.00123565,0.00123565,0.00123565
7,305.376,3.15192,2.50321,3.24765,0.03209,0.0449,0.0087,0.00372,3.67571,7.53588,4.32591,0.00142971,0.00142971,0.00142971
8,348.503,3.18649,2.53229,3.1952,0.01359,0.06197,0.01075,0.00498,3.86773,13.8707,4.46867,0.00161942,0.00161942,0.00161942
9,391.08,3.07743,2.51108,3.06721,0.02721,0.04221,0.01069,0.00477,3.77343,6.40517,4.43678,0.00180477,0.00180477,0.00180477
10,433.756,3.0541,2.38115,2.97248,0.01742,0.03592,0.00622,0.00274,3.59114,4.6018,4.20621,0.0018218,0.0018218,0.0018218
11,477.58,3.02404,2.38815,2.97257,0.01249,0.04715,0.00622,0.00276,3.6021,5.68684,4.15416,0.001802,0.001802,0.001802
12,520.255,3.01435,2.27906,2.87357,0.07758,0.04041,0.01378,0.00597,3.47387,6.1037,4.05601,0.0017822,0.0017822,0.0017822
13,563.035,2.97372,2.29853,2.82806,0.03444,0.06601,0.01555,0.00577,3.277,10.5311,3.75316,0.0017624,0.0017624,0.0017624
14,605.939,2.96322,2.31586,2.83558,0.04216,0.11226,0.02055,0.00588,3.22637,3.44137,3.59687,0.0017426,0.0017426,0.0017426
15,648.618,2.89096,2.21488,2.76904,0.07709,0.24023,0.04288,0.01279,2.81052,3.08215,3.13349,0.0017228,0.0017228,0.0017228
16,692.53,2.79006,2.19094,2.74539,0.05689,0.25685,0.03592,0.01269,2.90387,5.98318,3.2287,0.001703,0.001703,0.001703
17,736.093,2.76263,2.20317,2.69823,0.05529,0.21688,0.04121,0.01417,2.9225,4.01803,3.13812,0.0016832,0.0016832,0.0016832
18,779.684,2.79081,2.16408,2.66395,0.18848,0.20027,0.11349,0.03526,2.61859,3.10173,2.73455,0.0016634,0.0016634,0.0016634
19,824.144,2.76886,2.18778,2.64079,0.12305,0.21913,0.08295,0.02943,2.76753,2.5917,2.73803,0.0016436,0.0016436,0.0016436
20,867.428,2.73525,2.13583,2.56801,0.10299,0.20207,0.06951,0.02478,2.60144,2.63879,2.74968,0.0016238,0.0016238,0.0016238
21,911.12,2.60696,2.02248,2.52198,0.25286,0.29053,0.1903,0.06974,2.44919,2.20617,2.56398,0.001604,0.001604,0.001604
22,955.349,2.59992,2.00688,2.49649,0.20575,0.32735,0.17525,0.07247,2.34153,2.27189,2.40561,0.0015842,0.0015842,0.0015842
23,999.875,2.51367,1.93668,2.41915,0.38029,0.39784,0.32255,0.11971,2.27075,2.00969,2.34537,0.0015644,0.0015644,0.0015644
24,1043.41,2.48465,2.00331,2.47328,0.42792,0.38662,0.3505,0.12845,2.38116,1.90015,2.46532,0.0015446,0.0015446,0.0015446
25,1086.81,2.51763,1.93717,2.44517,0.36921,0.3974,0.32253,0.12665,2.27587,2.00891,2.32259,0.0015248,0.0015248,0.0015248
26,1131.27,2.43493,1.93021,2.39081,0.41114,0.41356,0.34218,0.13475,2.22872,2.04084,2.33107,0.001505,0.001505,0.001505
27,1174.32,2.46073,1.93234,2.41489,0.4636,0.4203,0.39665,0.16081,2.21634,1.83521,2.32348,0.0014852,0.0014852,0.0014852
28,1218.17,2.45736,1.86775,2.35338,0.38972,0.30669,0.27782,0.09753,2.58276,2.00208,2.51759,0.0014654,0.0014654,0.0014654
29,1261.87,2.39229,1.87772,2.3496,0.32054,0.36308,0.2818,0.10667,2.19863,1.99281,2.23346,0.0014456,0.0014456,0.0014456
30,1306.69,2.41088,1.81437,2.34531,0.29852,0.40454,0.25686,0.0978,2.23235,1.97242,2.27488,0.0014258,0.0014258,0.0014258
31,1351.02,2.34354,1.81995,2.30459,0.52042,0.37854,0.40065,0.14729,2.403,1.86312,2.37757,0.001406,0.001406,0.001406
32,1394.93,2.35222,1.82786,2.30815,0.60488,0.49259,0.53422,0.23216,2.03474,1.69729,2.12536,0.0013862,0.0013862,0.0013862
33,1438.52,2.30483,1.75866,2.23874,0.53701,0.4863,0.51148,0.21142,2.09086,1.79535,2.12104,0.0013664,0.0013664,0.0013664
34,1481.64,2.28327,1.80672,2.2534,0.57229,0.49259,0.52118,0.23485,2.02454,1.65169,2.08321,0.0013466,0.0013466,0.0013466
35,1525.35,2.22827,1.69837,2.17741,0.6309,0.50292,0.5466,0.2465,1.99611,1.60653,2.08796,0.0013268,0.0013268,0.0013268
36,1568.3,2.15767,1.66734,2.17487,0.64033,0.52851,0.57331,0.26441,1.95607,1.56396,2.03218,0.001307,0.001307,0.001307
37,1611.21,2.14121,1.63845,2.13063,0.66873,0.54648,0.594,0.2775,1.91439,1.54428,1.99443,0.0012872,0.0012872,0.0012872
38,1655.11,2.14723,1.60513,2.13202,0.66754,0.53211,0.58654,0.26874,1.91769,1.57048,2.00069,0.0012674,0.0012674,0.0012674
39,1699.33,2.13324,1.61495,2.09869,0.60406,0.55995,0.58109,0.26956,1.9143,1.57556,1.981,0.0012476,0.0012476,0.0012476
